rank,case_id,score,confidence,explanation,evidence
1,C-33201,85.18,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 4. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 19 months without a completed review while exhibiting active payment pattern changes. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,890.53) exceeded recorded award ($977.78) by $912.75 per month.; Maximum payment ($2,189.45) reached 94.0% of the household needs figure ($2,330.00).; Payment volatility standard deviation was $214.13 (min payment: $1,686.98, max payment: $2,189.45).; Last formal review was completed 19 months ago (policy review interval is typically 12 months).; Payment delivery method switched 2 times between Transfer and Card."
2,C-32431,80.03,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 2. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 23 months without a completed review while exhibiting active payment pattern changes. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,384.36) exceeded recorded award ($900.41) by $483.95 per month.; Maximum payment ($1,544.55) reached 92.5% of the household needs figure ($1,670.00).; Payment volatility standard deviation was $107.12 (min payment: $1,253.03, max payment: $1,544.55).; Last formal review was completed 23 months ago (policy review interval is typically 12 months)."
3,C-32724,79.83,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 2. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 16 months without a completed review while exhibiting active payment pattern changes. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,372.62) exceeded recorded award ($794.07) by $578.55 per month.; Maximum payment ($1,570.42) reached 94.0% of the household needs figure ($1,670.00).; Payment volatility standard deviation was $130.65 (min payment: $1,241.66, max payment: $1,570.42).; Last formal review was completed 16 months ago (policy review interval is typically 12 months).; Payment delivery method switched 3 times between Transfer and Card."
4,C-30644,78.98,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 4. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 13 months without a completed review while exhibiting active payment pattern changes. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,869.43) exceeded recorded award ($902.73) by $966.70 per month.; Maximum payment ($2,080.89) reached 89.3% of the household needs figure ($2,330.00).; Payment volatility standard deviation was $152.47 (min payment: $1,692.58, max payment: $2,080.89).; Last formal review was completed 13 months ago (policy review interval is typically 12 months).; Payment delivery method switched 2 times between Transfer and Card."
5,C-31298,77.89,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 4. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 8 months without a completed review while exhibiting active payment pattern changes. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,997.21) exceeded recorded award ($746.45) by $1,250.76 per month.; Maximum payment ($2,211.51) reached 94.9% of the household needs figure ($2,330.00).; Payment volatility standard deviation was $183.88 (min payment: $1,749.02, max payment: $2,211.51).; Last formal review was completed 8 months ago (policy review interval is typically 12 months).; Payment delivery method switched 2 times between Transfer and Card."
6,C-32502,77.76,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 1. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 17 months without a completed review while exhibiting active payment pattern changes. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,013.73) exceeded recorded award ($435.04) by $578.69 per month.; Maximum payment ($1,172.97) reached 94.6% of the household needs figure ($1,240.00).; Payment volatility standard deviation was $88.58 (min payment: $914.51, max payment: $1,172.97).; Last formal review was completed 17 months ago (policy review interval is typically 12 months).; Payment delivery method switched 3 times between Transfer and Card."
7,C-34180,77.09,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 2. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 20 months without a completed review while exhibiting active payment pattern changes. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,414.34) exceeded recorded award ($866.84) by $547.50 per month.; Maximum payment ($1,557.33) reached 93.3% of the household needs figure ($1,670.00).; Payment volatility standard deviation was $113.95 (min payment: $1,215.34, max payment: $1,557.33).; Last formal review was completed 20 months ago (policy review interval is typically 12 months).; Payment delivery method switched 1 times between Transfer and Card."
8,C-34050,76.2,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 1. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 23 months without a completed review while exhibiting active payment pattern changes. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,057.32) exceeded recorded award ($437.44) by $619.88 per month.; Maximum payment ($1,159.91) reached 93.5% of the household needs figure ($1,240.00).; Payment volatility standard deviation was $73.82 (min payment: $912.92, max payment: $1,159.91).; Last formal review was completed 23 months ago (policy review interval is typically 12 months).; Payment delivery method switched 1 times between Transfer and Card."
9,C-33263,75.95,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 6. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 6 months without a completed review while exhibiting active payment pattern changes. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($2,521.37) exceeded recorded award ($1,368.13) by $1,153.24 per month.; Maximum payment ($2,729.07) reached 91.3% of the household needs figure ($2,990.00).; Payment volatility standard deviation was $170.78 (min payment: $2,253.21, max payment: $2,729.07).; Last formal review was completed 6 months ago (policy review interval is typically 12 months).; Payment delivery method switched 1 times between Transfer and Card."
10,C-32368,74.19,High,Observed monthly payments consistently exceeded the official recorded monthly award on the case file. Payment amounts approached or exceeded the policy monthly needs limit for a household size of 1. Payment amounts fluctuated significantly across the 6-month period while the recorded award remained constant. The case has gone 17 months without a completed review while exhibiting active payment pattern changes. Payment distribution method changed multiple times across recent months. This case has a payment pattern worth reviewing against official case documentation.,"Average monthly payment received ($1,062.05) exceeded recorded award ($528.79) by $533.26 per month.; Maximum payment ($1,142.21) reached 92.1% of the household needs figure ($1,240.00).; Payment volatility standard deviation was $68.52 (min payment: $961.78, max payment: $1,142.21).; Last formal review was completed 17 months ago (policy review interval is typically 12 months).; Payment delivery method switched 3 times between Transfer and Card."
